iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
LKA,Asia,Sri Lanka,6/29/2020,2037,4,11,0,95.128,0.187,0.514,0,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98
SDN,Africa,Sudan,6/29/2020,9258,0,572,0,211.132,0,13.045,0,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31
SUR,South America,Suriname,6/29/2020,490,99,11,1,835.274,168.759,18.751,1.705,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68
SWZ,Africa,Swaziland,6/29/2020,781,36,11,3,673.181,31.03,9.481,2.586,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19
SWE,Europe,Sweden,6/29/2020,65137,0,5280,0,6449.674,0,522.81,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8
CHE,Europe,Switzerland,6/29/2020,31534,62,1681,0,3643.604,7.164,194.232,0,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78
SYR,Asia,Syria,6/29/2020,256,0,9,0,14.628,0,0.514,0,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7
TWN,Asia,Taiwan,6/29/2020,447,0,7,0,18.768,0,0.294,0,23816775,,42.2,,8.353,,,103.957,,,,,,80.46
TJK,Asia,Tajikistan,6/29/2020,5849,50,52,0,613.254,5.242,5.452,0,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1
TZA,Africa,Tanzania,6/29/2020,509,0,21,0,8.521,0,0.352,0,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46
THA,Asia,Thailand,6/29/2020,3162,0,58,0,45.301,0,0.831,0,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15
TLS,Asia,Timor,6/29/2020,24,0,0,0,18.203,0,0,0,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5
